Employee_ID,Department,Salary,Experience_Years,Performance_Score,Stability_Index,Projects_Completed
EMP-1082,Sales,162206,6,68,0.6230165700339912,37
EMP-1083,Marketing,72995,15,72,0.6828468998003334,25
EMP-1084,HR,64995,2,60,0.778290070536374,17
EMP-1085,Sales,73479,3,70,0.951308010499998,7
EMP-1086,Engineering,129524,17,62,0.7483776185980464,21
EMP-1087,Operations,102433,12,90,0.8312844713824047,33
EMP-1088,Marketing,72661,18,75,0.6936343145072176,33
EMP-1089,Sales,110279,15,77,0.7677803381982722,38
EMP-1090,Operations,93367,12,72,0.4411406853575886,25
EMP-1091,Sales,132312,16,77,0.5475471168882713,19
EMP-1092,Engineering,67822,8,100,0.6098747940589805,18
EMP-1093,Operations,78778,14,71,0.6740461459037779,36
EMP-1094,Sales,76774,17,67,0.4264762723913826,26
EMP-1095,Marketing,50014,8,81,0.48121397658092424,12
EMP-1096,Engineering,101104,15,44,0.5605522985189574,31
EMP-1097,Finance,99696,14,75,0.9634889607226094,12
EMP-1098,Sales,89995,18,70,0.5921812641197695,16
EMP-1099,Sales,81767,7,63,0.6795838137050079,10
EMP-1100,Operations,50986,3,81,0.12,19
EMP-1101,Finance,75902,12,75,0.7542524412239455,27
EMP-1102,Engineering,78305,3,53,0.562796264999265,19
EMP-1103,Marketing,65156,14,67,0.5200556954942875,9
EMP-1104,Engineering,84200,15,40,0.6996121244986679,21
EMP-1105,HR,105565,14,78,0.4031933635130441,21
EMP-1106,Engineering,190982,7,78,0.4044451389365507,35
EMP-1107,Sales,96306,17,65,0.5270599092790775,27
EMP-1108,Finance,99556,12,81,0.4212983902504763,17
EMP-1109,Operations,87176,4,59,0.462654937395801,6
EMP-1110,Marketing,41687,9,63,0.5965391766164759,1
EMP-1111,Finance,88863,6,80,0.8654996941562915,6
EMP-1112,Engineering,92001,16,66,0.7317882131541945,25
EMP-1113,Finance,220000,2,74,0.6973472810547215,50
EMP-1114,Engineering,83159,8,68,0.5702235174607105,22
EMP-1115,Marketing,101324,11,70,0.9404171572710335,31
EMP-1116,Finance,88572,13,70,0.6302687239175712,34
EMP-1117,Engineering,56274,17,66,0.4505138047415475,10
EMP-1118,Engineering,141859,8,78,0.7578985793483247,37
EMP-1119,HR,121326,18,67,0.46602626821642884,13
EMP-1120,HR,123238,18,75,0.6002294228249814,43
EMP-1121,Sales,62424,14,66,0.6942989244563291,5
EMP-1122,HR,157405,15,56,0.907049064317402,29
EMP-1123,Sales,51263,6,85,0.6862570165972688,9
EMP-1124,Engineering,113573,11,80,0.8073100842983653,12
EMP-1125,Marketing,215700,13,100,0.9758337666194608,48
EMP-1126,Engineering,60430,1,62,0.47626368954082937,19
EMP-1127,Operations,71606,6,72,0.5593442848013214,17
EMP-1128,Sales,93463,9,73,0.628854123846635,8
EMP-1129,Marketing,73429,8,86,0.6446603435525222,39
EMP-1130,Sales,48300,11,68,0.6383922236540165,20
EMP-1131,Operations,92308,19,60,0.9264143814828019,49
EMP-1132,Engineering,58720,9,89,0.8141389337907767,8
EMP-1133,Sales,108543,17,71,0.7525850241726082,36
EMP-1134,Sales,62174,12,85,0.5794361763604137,25
EMP-1135,Sales,166948,14,84,0.8777984228483509,35
EMP-1136,Engineering,65654,15,74,0.9539350966612936,32
EMP-1137,Operations,78955,16,72,0.8762950038791314,16
EMP-1138,Operations,124352,1,70,0.4009077610110543,26
EMP-1139,Sales,54891,10,74,0.7691127947063761,1
EMP-1140,HR,98365,8,85,0.42965852123641846,28
EMP-1141,Operations,151497,18,65,0.5494121877935587,22
EMP-1142,HR,47215,1,76,0.4345243262017076,8
EMP-1143,Engineering,96695,2,61,0.750201362710645,14
EMP-1144,Sales,99649,1,63,0.7982221498257119,21
EMP-1145,Sales,122785,1,74,0.466402830078225,33
EMP-1146,Marketing,54758,9,51,0.6226265521660881,16
EMP-1147,HR,52959,13,99,0.6646171751942144,22
EMP-1148,Operations,110662,1,60,0.6140507526213317,39
EMP-1149,Operations,101139,13,74,0.47019450028141196,21
EMP-1150,Sales,99276,7,89,0.6429897183087357,20
EMP-1151,Engineering,103160,2,64,0.8356832677288826,35
EMP-1152,R&D,68422,6,47,0.4411844454292882,29
EMP-1153,Finance,98554,7,69,0.44650440816750403,32
EMP-1154,Engineering,100981,14,64,0.6057673492648709,15
EMP-1155,Operations,67489,18,47,0.9462009127389766,22
EMP-1156,Operations,189430,15,78,0.7877721350992901,43
EMP-1157,Sales,108553,2,77,0.7936285748700875,37
EMP-1158,Sales,55767,10,88,0.6099135946859617,10
EMP-1159,Marketing,116784,12,61,0.7443232589009523,11
EMP-1160,Engineering,60815,17,55,0.40587608673609116,24
EMP-1161,Marketing,123044,8,70,0.7689357069175344,4
EMP-1162,Finance,142757,11,73,0.9297064295942173,26
EMP-1163,Engineering,64679,3,86,0.7552926116399952,7
EMP-1164,Marketing,132034,6,91,0.9067451842104801,21
EMP-1165,Marketing,105934,9,89,0.8199043721703344,18
EMP-1166,Sales,124777,6,78,0.46992388151414033,42
EMP-1167,Operations,191794,9,84,0.9234229182257881,51
EMP-1168,Marketing,81414,7,67,0.43853742972634946,18
EMP-1169,Marketing,66434,9,77,0.709701134077703,29
EMP-1170,HR,62922,18,60,0.4824395318002055,6
EMP-1171,Sales,64805,12,75,0.4067898342239244,5
EMP-1172,Engineering,87083,8,76,0.6447798708740307,31
EMP-1173,Sales,102942,8,95,0.5711236104394106,31
EMP-1174,Engineering,100322,18,72,0.6818802864026097,20
EMP-1175,Engineering,125033,15,76,0.7347759343060395,18
EMP-1176,Sales,90279,7,77,0.4253686619391895,37
EMP-1177,Marketing,160633,11,69,0.4713419111717725,19
EMP-1178,Operations,80789,16,65,0.7240125899412466,15
EMP-1179,Marketing,220000,4,90,0.5990370648401417,51
EMP-1180,Sales,115350,6,63,0.8229206227786798,46
EMP-1181,Sales,63742,3,59,0.778329156183325,21
EMP-1182,Engineering,58519,9,83,0.8904505305341459,21
EMP-1183,HR,108929,10,88,0.8016458394681507,21
EMP-1184,Engineering,82131,14,69,0.6493600248862859,27
EMP-1185,R&D,119499,11,69,0.7903206409887709,29
EMP-1186,Engineering,108527,18,78,0.5597210810681428,10
EMP-1187,Marketing,87232,12,66,0.5776618292913633,30
EMP-1188,Engineering,64006,12,65,0.8576113927540601,27
EMP-1189,R&D,48997,13,85,0.6589233195129176,22
EMP-1190,Sales,75121,13,82,0.8630605975006445,20
EMP-1191,Sales,126503,19,90,0.8770049767276015,20
EMP-1192,Engineering,97841,19,59,0.8973861558435445,1
EMP-1193,HR,54566,14,68,0.9316484367879002,17
EMP-1194,Engineering,96253,4,78,0.6499714278977118,35
EMP-1195,Operations,104777,13,63,0.5849427546262606,35
EMP-1196,Engineering,63065,8,82,0.737675273024586,25
EMP-1197,Engineering,95507,19,89,0.615280005593824,23
EMP-1198,Engineering,91926,12,67,0.7486230167441351,34
EMP-1199,Sales,56855,18,75,0.8092398003334182,25
EMP-1200,Sales,103629,6,92,0.7992749107254393,21
EMP-1201,Engineering,112395,18,96,0.6172406744716704,34
EMP-1202,Finance,138508,19,83,0.49677891698527665,27
EMP-1203,Sales,136897,5,82,0.6497070163080804,37
EMP-1204,Sales,51761,9,64,0.4827046035675071,2
EMP-1205,Marketing,61718,3,79,0.9162562804066088,5
EMP-1206,Marketing,110357,10,81,0.6006089272279573,37
EMP-1207,Sales,110302,19,72,0.4895866533895278,36
EMP-1208,Engineering,110357,3,67,0.4147597007453355,33
EMP-1209,Engineering,220000,15,59,0.7745769840461609,49
EMP-1210,Operations,112850,1,54,0.7694033441237511,3
EMP-1211,Operations,141448,7,51,0.5975504166171491,32
EMP-1212,Marketing,131539,12,81,0.4415928955316376,35
EMP-1213,Engineering,116543,17,76,0.6375847590392346,22
EMP-1214,Sales,79170,5,69,0.5805061471367683,13
EMP-1215,Marketing,121668,4,71,0.7927299710463054,43
EMP-1216,Engineering,65929,12,77,0.7513519646825604,17
EMP-1217,Engineering,81694,18,73,0.6114643623545732,25
EMP-1218,HR,73962,17,58,0.5263776814678942,27
EMP-1219,HR,92801,19,85,0.9730608603702433,13
EMP-1220,Engineering,220000,9,78,0.6633209402937466,50
EMP-1221,Engineering,42555,4,78,0.7991990567525376,26
EMP-1222,Engineering,118180,2,85,0.48152072119544925,46
EMP-1223,HR,47116,4,65,0.6816420258024507,14
EMP-1224,Engineering,74361,2,89,0.41597129752429,17
EMP-1225,Engineering,138835,15,73,0.693163968388061,35
EMP-1226,Finance,92150,2,85,0.9591300961282674,25
EMP-1227,Engineering,58358,4,83,0.6228398935317642,30
EMP-1228,HR,67463,6,62,0.42261768729344873,8
EMP-1229,Engineering,117866,7,81,0.4179543587332193,25
EMP-1230,Engineering,67058,10,78,0.6250323207691844,7
EMP-1231,Engineering,97933,19,75,0.49281446314865257,14
EMP-1232,HR,91463,19,73,0.41354421587034784,27
EMP-1233,Operations,69204,12,73,0.8386038960911025,26
EMP-1234,Finance,211724,3,84,0.6659433451514967,40
EMP-1235,Marketing,115732,13,81,0.5677619677441397,35
EMP-1236,HR,39950,18,75,0.9220482461495588,24
EMP-1237,Engineering,96765,8,57,0.4673605969163049,43
EMP-1238,Engineering,68923,15,80,0.9544329207940851,19
EMP-1239,Operations,126302,1,83,0.5821006960788646,23
EMP-1240,Engineering,65411,3,100,0.9152741299390351,8
EMP-1241,Engineering,85782,8,87,0.7497068683580876,11
EMP-1242,Engineering,109914,4,52,0.8794902686500627,39
EMP-1243,Engineering,126977,16,75,0.9707276346620692,15
EMP-1244,Engineering,55567,10,96,0.5672751539348726,28
EMP-1245,Sales,78563,12,82,0.957458581536404,12
EMP-1246,Marketing,74271,14,78,0.6258994990434038,13
EMP-1247,Operations,69156,14,85,0.6235969047474149,17
EMP-1248,Finance,181979,2,67,0.5974245204676133,34
EMP-1249,Marketing,105604,5,80,0.7140164122615994,35
EMP-1250,Engineering,54236,5,71,0.48940412504352254,33
EMP-1251,Marketing,129652,6,74,0.7211526615076465,24
EMP-1252,Sales,209887,13,84,0.7141887911978023,42
EMP-1253,Engineering,135733,9,63,0.8419030513108245,30
EMP-1254,Sales,48909,15,90,0.8835169779237997,20
EMP-1255,Marketing,73996,14,69,0.6554559831812059,18
EMP-1256,Sales,149078,7,78,0.5753532846238664,48
EMP-1257,Marketing,67669,2,58,0.5504142404439147,30
EMP-1258,Engineering,107258,7,83,0.5128818252888258,14
EMP-1259,Operations,122432,6,92,0.43343559767543444,34
EMP-1260,Finance,61987,17,68,0.5986198277241337,32
EMP-1261,Engineering,87698,2,61,0.5567436614358543,17
EMP-1262,Operations,35000,3,78,0.9605220838025162,9
EMP-1263,Sales,59617,5,92,0.7234711192250255,11
EMP-1264,Operations,81181,5,57,0.6014206826376944,16
EMP-1265,Finance,54521,1,61,0.7366712085763436,1
EMP-1266,Marketing,172547,8,69,0.48073408678050344,26
EMP-1267,Engineering,50686,12,65,0.6575453745372777,15
EMP-1268,Engineering,75315,4,65,0.763215906424217,35
EMP-1269,Sales,94632,13,49,0.6835607424396217,17
EMP-1270,Sales,159847,15,82,0.6330317043795081,30
EMP-1271,Engineering,50570,11,79,0.9764320655618249,32
EMP-1272,Engineering,143018,10,54,0.9105825620463777,22
EMP-1273,Finance,90179,3,92,0.7615754557324752,6
EMP-1274,R&D,60649,14,95,0.730238869485724,8
EMP-1275,Sales,108045,16,65,0.7599830782982587,19
EMP-1276,Engineering,97254,10,88,0.5167610225370113,6
EMP-1277,Engineering,70641,10,68,0.6291798910933049,17
EMP-1278,Engineering,92354,12,77,0.42288652907672164,32
EMP-1279,Operations,76982,9,64,0.6758167017423595,7
EMP-1280,Engineering,93983,1,100,0.7149542586954447,24
EMP-1281,Sales,117045,5,71,0.5320948469398616,32
EMP-1282,Engineering,169375,8,76,0.959136731355998,38
EMP-1283,Sales,54739,11,66,0.9274836743436004,17
EMP-1284,HR,210802,12,97,0.8188430765644255,49
EMP-1285,Finance,41135,1,97,0.7093642446839103,5
EMP-1286,Engineering,84520,11,94,0.9045821125956572,36
EMP-1287,Engineering,113640,5,86,0.4757783594176085,40
EMP-1288,Engineering,100494,15,67,0.8584956806794333,36
EMP-1289,Operations,70009,5,84,0.47239607210077206,29
EMP-1290,Operations,82637,12,74,0.8606421842786551,5
EMP-1291,Sales,73737,5,90,0.559945189585787,29
EMP-1292,Sales,70949,17,88,0.9087125369905495,25
EMP-1293,HR,126159,17,67,0.9475444144187307,14
EMP-1294,Engineering,103597,12,86,0.48630166225496707,23
EMP-1295,Operations,68070,15,83,0.6683518509379283,21
EMP-1296,Marketing,128708,15,41,0.9689726793343574,47
EMP-1297,Marketing,101557,6,84,0.680376312864425,32
EMP-1298,Sales,124319,12,69,0.9008575630584361,21
EMP-1299,Engineering,115533,18,64,0.7414642828361655,45
EMP-1300,Engineering,64464,14,64,0.6176913465933691,18
EMP-1301,HR,71782,2,73,0.5657544622050047,16
EMP-1302,Engineering,121101,9,80,0.5178693928299306,25
EMP-1303,Sales,114647,5,58,0.8418429509990644,11
EMP-1304,Engineering,89063,1,77,0.6241934939573561,21
EMP-1305,Marketing,94126,3,81,0.6965397680764357,28
EMP-1306,Engineering,149721,6,97,0.6855487784006855,31
EMP-1307,Marketing,70886,5,62,0.7348218369552162,23
EMP-1308,HR,111781,5,70,0.9020347444622403,18
EMP-1309,Engineering,82833,1,78,0.968828819278389,20
EMP-1310,Sales,82321,17,88,0.6363988409728139,24
EMP-1311,Sales,139382,19,71,0.8799609748216557,34
EMP-1312,HR,124945,14,89,0.8434261208997362,13
EMP-1313,Operations,124351,12,51,0.7326467918442325,25
EMP-1314,HR,151396,10,59,0.9545073432949212,52
EMP-1315,Engineering,90568,18,79,0.5162752190064737,18
EMP-1316,Engineering,117977,11,58,0.4633732419795804,28
EMP-1317,Engineering,79328,2,60,0.8952979408341448,19
EMP-1318,Sales,102245,18,68,0.654706893647574,41
EMP-1319,Engineering,85255,7,84,0.8912419354400951,34
EMP-1320,Sales,93364,15,52,0.9179923190133407,31
EMP-1321,Sales,113951,11,77,0.4362254042990614,18
EMP-1322,Marketing,64742,18,87,0.9124095625319152,21
EMP-1323,Finance,207403,12,72,0.6600250521142649,52
EMP-1324,Engineering,60057,6,70,0.6960508436224546,10
EMP-1325,Engineering,55259,13,79,0.763423656434062,7
EMP-1326,HR,142729,16,72,0.9373019119034504,50
EMP-1327,Sales,123269,18,91,0.4110873347692632,26
EMP-1328,HR,115279,10,61,0.6765692116243339,44
EMP-1329,Marketing,115474,8,74,0.7988787846097252,38
EMP-1330,Engineering,89372,18,77,0.8191700354649725,26
EMP-1331,Finance,62728,1,70,0.8016688102915226,22
EMP-1332,Finance,92576,8,40,0.4779723750567107,9
EMP-1333,HR,68500,6,73,0.5736494412555752,20
EMP-1334,Engineering,132655,5,85,0.6080550047418678,45
EMP-1335,Sales,84680,15,84,0.8665735804541128,28
EMP-1336,Marketing,64554,15,79,0.5616807260004408,19
EMP-1337,Engineering,78976,2,61,0.5222088790429779,37
EMP-1338,Operations,105941,1,79,0.9553198510420957,24
EMP-1339,Engineering,71680,11,68,0.405140705365812,13
EMP-1340,R&D,64639,10,79,0.9787360962955474,19
EMP-1341,Marketing,99006,18,76,0.7925563533372895,32
EMP-1342,Engineering,99057,18,63,0.8805121936804878,7
EMP-1343,Sales,73327,17,64,0.5708792498807921,22
EMP-1344,Operations,74387,8,79,0.4083028610468948,27
EMP-1345,HR,98546,15,72,0.8279643207656875,22
EMP-1346,Finance,50323,8,64,0.883803866260392,26
EMP-1347,HR,51148,17,63,0.8294761565330411,21
EMP-1348,HR,67378,12,71,0.4828531666344864,39
EMP-1349,Finance,82461,8,93,0.8369881949090421,13
EMP-1350,Engineering,101704,14,68,0.8459752136224318,33
EMP-1351,Sales,162041,4,74,0.7819534990886319,27
EMP-1352,Engineering,126567,1,76,0.84434724102144,14
EMP-1353,R&D,84245,1,61,0.8906344350130846,1
EMP-1354,Operations,89130,19,53,0.7558903862577259,28
EMP-1355,Engineering,60141,16,62,0.45139073410241387,18
EMP-1356,HR,89148,14,77,0.6828241296069824,18
EMP-1357,Operations,80017,16,76,0.44503661410953094,3
EMP-1358,Engineering,102186,5,83,0.6363749579988098,18
EMP-1359,Sales,64509,9,76,0.636121763692864,17
EMP-1360,Operations,110547,2,73,0.4382857096013401,35
EMP-1361,Engineering,165803,18,67,0.602315909702298,37
EMP-1362,HR,85987,6,85,0.46437889729896265,24
EMP-1363,Engineering,105466,9,63,0.8687764218053489,22
EMP-1364,Operations,118364,1,61,0.9496590550593931,46
EMP-1365,R&D,76494,9,81,0.4419435556496044,10
EMP-1366,Operations,98233,16,59,0.9539668202291868,17
EMP-1367,Sales,90264,13,100,0.7030944276153122,18
EMP-1368,Operations,93389,9,75,0.5737480932132468,29
EMP-1369,Finance,65924,13,79,0.44458000366017486,7
EMP-1370,Marketing,90696,9,65,0.6903620754808424,24
EMP-1371,Finance,109607,11,71,0.8608190158046343,28
EMP-1372,Engineering,160479,4,69,0.8101101568146849,30
EMP-1373,Sales,131817,2,68,0.4291310866491048,34
EMP-1374,Engineering,212508,6,82,0.44228306451338406,37
EMP-1375,Engineering,66073,14,69,0.6336665039269296,7
EMP-1376,Engineering,127311,4,87,0.571268486547807,31
EMP-1377,HR,96645,6,100,0.5347829073725078,7
EMP-1378,Marketing,215644,19,71,0.5629826093670539,26
EMP-1379,HR,65000,6,76,0.8660199911121931,23
EMP-1380,Engineering,64188,2,79,0.9389522711064753,28
EMP-1381,Marketing,70665,18,96,0.6349595628259885,14
EMP-1382,Sales,38403,13,74,0.9255443812368482,5
EMP-1383,Finance,72777,9,65,0.5864675067237716,29
EMP-1384,Marketing,66291,19,59,0.6763334520793991,6
EMP-1385,Sales,95379,13,74,0.5310968187332799,10
EMP-1386,Operations,102967,11,69,0.7714761044619896,32
EMP-1387,Sales,190219,1,99,0.9678090468013891,43
EMP-1388,Engineering,131351,7,96,0.7500259957051596,41
EMP-1389,Engineering,71303,15,62,0.6075321687858584,1
EMP-1390,Operations,62698,1,66,0.7757341186745065,3
EMP-1391,Engineering,109341,12,75,0.4712939935099248,27
EMP-1392,Operations,52964,7,91,0.9154222665539312,19
EMP-1393,Sales,186847,15,75,0.691788691452305,50
EMP-1394,Operations,143952,19,67,0.6606228503829924,35
EMP-1395,Finance,74443,1,74,0.7398015773030411,21
EMP-1396,R&D,45261,17,67,0.7623746404178534,10
EMP-1397,Marketing,154355,17,82,0.44162996761137757,51
EMP-1398,Finance,85789,3,66,0.7959179883095734,11
EMP-1399,Marketing,147353,12,68,0.5403203745830072,38
EMP-1400,Sales,47462,6,88,0.814092526853822,4
EMP-1401,Sales,70665,11,65,0.877070180742834,24
EMP-1402,Operations,89999,3,57,0.8662959343804617,12
EMP-1403,R&D,91514,8,76,0.7204505610965757,30
EMP-1404,Finance,75014,14,70,0.7016985375402357,21
EMP-1405,Marketing,115220,14,81,0.4828680575768588,45
EMP-1406,Marketing,58595,10,78,0.8497007672338186,13
EMP-1407,HR,84839,2,74,0.5574174406590944,26
EMP-1408,Engineering,94238,14,74,0.6880833452344091,16
EMP-1409,Engineering,110331,9,66,0.5648789738979597,24
EMP-1410,Marketing,119385,3,76,0.47762045053982205,29
EMP-1411,Engineering,57274,8,85,0.7651434641972072,1
EMP-1412,Engineering,48621,16,63,0.4315125801972842,1
EMP-1413,Engineering,149722,2,74,0.834214235793196,40
EMP-1414,Engineering,102579,6,87,0.5842003412514477,24
EMP-1415,Engineering,66574,12,81,0.4000781219426015,12
EMP-1416,R&D,167029,5,90,0.6964549007575933,31
EMP-1417,Marketing,94064,2,68,0.4271741069460098,16
EMP-1418,Marketing,143944,16,53,0.5601783435361217,34
EMP-1419,HR,92269,5,77,0.8100463627243153,27
EMP-1420,Engineering,204794,15,79,0.4363599805406822,25
EMP-1421,Operations,181244,12,91,0.8868163255664814,55
EMP-1422,Finance,81298,4,89,0.4022155551419782,34
EMP-1423,Engineering,132467,15,81,0.5431578441371033,8
EMP-1424,Marketing,116263,11,84,0.8297243525682014,39
EMP-1425,Operations,155269,16,72,0.5834366868429979,46
EMP-1426,Operations,61052,6,60,0.45909758507828785,17
EMP-1427,Sales,118170,14,76,0.6089356729042482,15
EMP-1428,Sales,137150,18,86,0.5568281061030248,42
EMP-1429,Engineering,44443,12,82,0.8887729032531219,11
EMP-1430,R&D,55947,11,85,0.581741792199383,21
EMP-1431,Engineering,39726,13,69,0.8575808336300842,35
EMP-1432,Operations,80636,11,71,0.9172858439902262,23
EMP-1433,Sales,119668,16,80,0.6516141033543872,19
EMP-1434,Sales,163801,15,68,0.9277670234355474,34
EMP-1435,Sales,92512,15,68,0.6188444712986518,15
EMP-1436,Engineering,172286,4,78,0.9591654815642627,43
EMP-1437,Engineering,51710,11,84,0.4517879242248323,7
EMP-1438,Engineering,45438,19,72,0.7984711745718808,9
EMP-1439,Engineering,87837,15,61,0.6864121434650186,9
EMP-1440,Finance,104724,4,66,0.6248363071642753,24
EMP-1441,Marketing,88644,13,77,0.7669728896741885,24
EMP-1442,Engineering,39280,19,77,0.808237113147912,1
EMP-1443,R&D,86666,2,77,0.4025306963971793,24
EMP-1444,Operations,53299,14,81,0.4968327914733753,15
EMP-1445,Operations,117399,4,75,0.8135667093679049,20
EMP-1446,R&D,103995,16,78,0.7865035398753597,46
EMP-1447,Engineering,61667,14,74,0.9603075529746328,26
EMP-1448,Marketing,73124,15,88,0.8414019183454542,8
EMP-1449,Finance,58793,3,92,0.9514481704841761,25
EMP-1450,HR,87587,8,60,0.807473490890188,34
EMP-1451,Engineering,131599,16,71,0.572870281010877,32
EMP-1452,Finance,60546,10,75,0.46111165490549677,20
EMP-1453,Engineering,109873,4,71,0.8534578407400626,30
EMP-1454,Engineering,72646,18,96,0.7736065484560313,1
EMP-1455,Sales,65402,2,77,0.42794788718811183,16
EMP-1456,Sales,86047,17,65,0.6088292702225675,19
EMP-1457,Sales,59359,13,82,0.954943892980886,31
EMP-1458,Engineering,71970,4,78,0.6902326645119168,22
EMP-1459,Operations,55620,11,78,0.6509828988914287,13
EMP-1460,Engineering,197078,7,96,0.6654657709923906,43
EMP-1461,Engineering,91087,12,79,0.521151979922995,33
EMP-1462,Operations,67885,10,71,0.6138501591015812,16
EMP-1463,R&D,97836,7,51,0.6144916884725624,17
EMP-1464,Operations,85865,13,73,0.430365911708734,19
EMP-1465,Finance,82213,7,90,0.8451892245403926,30
EMP-1466,HR,114821,17,73,0.6415725705042499,32
EMP-1467,Sales,121597,10,48,0.8768643343535255,29
EMP-1468,Engineering,72639,10,69,0.8932018406495393,21
EMP-1469,Marketing,71334,4,86,0.5229565517252217,13
EMP-1470,Marketing,80454,4,81,0.7812650196586746,19
EMP-1471,Engineering,35763,7,64,0.6739234464145294,5
EMP-1472,HR,48990,1,68,0.9104909079944613,11
EMP-1473,Sales,155160,12,70,0.5251295939223434,49
EMP-1474,Engineering,173416,13,67,0.7931316561798256,28
